2026-07-06 23:46:18.059 | INFO     | services.project_service:open_project:156 | Project opened
2026-07-06 23:46:18.086 | INFO     | services.project_service:open_project:156 | Project opened
2026-07-06 23:46:18.104 | INFO     | services.project_service:open_project:156 | Project opened
2026-07-06 23:46:18.123 | INFO     | services.project_service:open_project:156 | Project opened
2026-07-06 23:46:18.143 | INFO     | services.project_service:open_project:156 | Project opened
2026-07-06 23:46:18.158 | INFO     | services.project_service:open_project:156 | Project opened
2026-07-06 23:46:18.171 | INFO     | services.project_service:open_project:156 | Project opened
2026-07-06 23:46:18.192 | INFO     | services.project_service:open_project:156 | Project opened
2026-07-06 23:46:18.204 | INFO     | services.project_service:open_project:156 | Project opened
2026-07-06 23:46:18.215 | INFO     | services.project_service:open_project:156 | Project opened
2026-07-06 23:46:18.229 | INFO     | services.project_service:open_project:156 | Project opened
2026-07-06 23:46:18.239 | INFO     | services.project_service:open_project:156 | Project opened
2026-07-06 23:46:18.250 | INFO     | services.project_service:open_project:156 | Project opened
2026-07-06 23:46:18.267 | INFO     | services.project_service:open_project:156 | Project opened
2026-07-06 23:46:18.275 | INFO     | services.project_service:open_project:156 | Project opened
2026-07-06 23:46:18.288 | INFO     | services.project_service:open_project:156 | Project opened
2026-07-06 23:46:18.299 | INFO     | services.project_service:open_project:156 | Project opened
2026-07-06 23:46:18.309 | INFO     | services.project_service:open_project:156 | Project opened
2026-07-06 23:46:18.321 | INFO     | services.project_service:open_project:156 | Project opened
2026-07-07 00:02:20.355 | INFO     | core.logging:setup_logging:67 | Logging system initialized
2026-07-07 00:02:20.357 | INFO     | main:lifespan:35 | Starting GARUDA v1.0.0
2026-07-07 00:02:20.358 | INFO     | main:lifespan:36 | Environment: development
2026-07-07 00:02:20.365 | INFO     | main:lifespan:38 | Database initialized
2026-07-07 00:02:38.575 | INFO     | services.project_service:open_project:156 | Project opened
2026-07-07 00:02:38.594 | INFO     | services.project_service:open_project:156 | Project opened
2026-07-07 00:02:38.605 | INFO     | services.project_service:open_project:156 | Project opened
